1393155511.88, 06:38 on Feb 23 201435.5, 92, 30.09, 33, Error getting percipitaion.
1393159112.94, 07:38 on Feb 23 201436.1, 92, 30.09, 34, Error getting percipitaion.
1393162710.98, 08:38 on Feb 23 201439.5, 90, 30.10, 37, Error getting percipitaion.
1393166310.55, 09:38 on Feb 23 201450.0, 68, 30.10, 40, Error getting percipitaion.
1393169910.25, 10:38 on Feb 23 201457.7, 53, 30.09, 40, Error getting percipitaion.
1393173510.03, 11:38 on Feb 23 201461.7, 50, 30.06, 43, Error getting percipitaion.
1393177109.5, 12:38 on Feb 23 201462.7, 46, 30.03, 41, Error getting percipitaion.
1393180709.22, 13:38 on Feb 23 201465.7, 42, 30.02, 42, Error getting percipitaion.
1393184310.26, 14:38 on Feb 23 201467.2, 36, 29.98, 39, Error getting percipitaion.
1393187910.12, 15:38 on Feb 23 201467.9, 35, 29.95, 39, Error getting percipitaion.
1393191509.78, 16:38 on Feb 23 201467.1, 34, 29.94, 38, Error getting percipitaion.
1393195109.33, 17:38 on Feb 23 201464.9, 40, 29.92, 40, Error getting percipitaion.
1393198712.53, 18:38 on Feb 23 201462.1, 45, 29.92, 40, Error getting percipitaion.
1393202308.82, 19:38 on Feb 23 201460.0, 49, 29.91, 41, Error getting percipitaion.
1393205908.37, 20:38 on Feb 23 201457.9, 55, 29.91, 42, Error getting percipitaion.
1393245177.95, 07:32 on Feb 24 201444.2, 70, 30.01, 35, 0.00
1393248777.9, 08:32 on Feb 24 201449.8, 57, 30.05, 35, 0.00
1393252377.42, 09:32 on Feb 24 201451.7, 51, 30.06, 34, 0.00
1393255977.47, 10:32 on Feb 24 201454.6, 43, 30.09, 33, 0.00
1393259577.06, 11:32 on Feb 24 201455.1, 29, 30.08, 23, 0.00
1393263176.94, 12:32 on Feb 24 201456.9, 28, 30.08, 24, 0.00
1393266776.65, 13:32 on Feb 24 201458.7, 29, 30.04, 26, 0.00
1393270376.22, 14:32 on Feb 24 201459.5, 28, 30.03, 26, 0.00
1393273975.84, 15:32 on Feb 24 201460.8, 23, 30.02, 23, 0.00
1393277576.99, 16:32 on Feb 24 201458.9, 23, 30.04, 21, 0.00
1393281176.77, 17:32 on Feb 24 201455.9, 24, 30.05, 20, 0.00
1393284776.56, 18:32 on Feb 24 201453.1, 26, 30.07, 19, 0.00
1393288376.17, 19:32 on Feb 24 201450.2, 29, 30.10, 19, 0.00
1393291975.86, 20:32 on Feb 24 201446.1, 35, 30.11, 20, 0.00
1393319573.9, 04:12 on Feb 25 201432.3, 73, 30.07, 25, 0.00
1393323173.02, 05:12 on Feb 25 201431.0, 73, 30.07, 23, 0.00
1393326774.31, 06:12 on Feb 25 201430.1, 76, 30.08, 24, 0.00
1393330374.78, 07:12 on Feb 25 201430.4, 79, 30.09, 25, 0.00
1393333974.76, 08:12 on Feb 25 201435.5, 57, 30.08, 22, 0.00
1393337574.87, 09:12 on Feb 25 201438.8, 47, 30.06, 20, 0.00
1393341175.11, 10:12 on Feb 25 201441.5, 50, 30.05, 24, 0.00
1393344775.16, 11:12 on Feb 25 201444.3, 47, 30.04, 25, 0.00
1393348373.91, 12:12 on Feb 25 201448.9, 35, 30.04, 22, 0.00
1393351974.16, 13:12 on Feb 25 201450.9, 32, 30.00, 22, 0.00
1393355574.22, 14:12 on Feb 25 201452.5, 34, 29.98, 25, 0.00
1393359174.44, 15:12 on Feb 25 201451.7, 35, 29.96, 25, 0.00
1393362774.49, 16:12 on Feb 25 201449.5, 31, 29.97, 20, 0.00
1393366374.63, 17:12 on Feb 25 201448.5, 32, 29.98, 20, 0.00
1393369974.89, 18:12 on Feb 25 201444.9, 36, 29.98, 20, 0.00
1393373575.06, 19:12 on Feb 25 201441.3, 47, 29.99, 23, 0.00
1393377175.04, 20:12 on Feb 25 201439.0, 53, 29.99, 23, 0.00
1393380775.43, 21:12 on Feb 25 201437.9, 53, 29.99, 22, 0.00
1393388890.17, 23:28 on Feb 25 201434.8, 62, 30.01, 23, 0.00
