
1382907138.078121,20:52 on Oct 27 2013,68
1382910742.770151,21:52 on Oct 27 2013,63
1382914347.407837,22:52 on Oct 27 2013,59
1382917952.0841,23:52 on Oct 27 2013,54
1382921556.597883,00:52 on Oct 28 2013,52
1382925161.31991,01:52 on Oct 28 2013,50
1382928766.18875,02:52 on Oct 28 2013,49
1382932370.914419,03:52 on Oct 28 2013,47
1382935977.976556,04:53 on Oct 28 2013,46
1382939582.564286,05:53 on Oct 28 2013,45
1382943187.291325,06:53 on Oct 28 2013,44
1382946791.905371,07:53 on Oct 28 2013,45
1382950397.009351,08:53 on Oct 28 2013,47
1382954001.506981,09:53 on Oct 28 2013,46
1382957606.216758,10:53 on Oct 28 2013,45
1382961210.729351,11:53 on Oct 28 2013,46
1382964815.48959,12:53 on Oct 28 2013,48
1382968420.20694,13:53 on Oct 28 2013,50
1382972024.976244,14:53 on Oct 28 2013,55
1382975629.802324,15:53 on Oct 28 2013,58
1382979234.409658,16:53 on Oct 28 2013,61
1382982838.888594,17:54 on Oct 28 2013,66
1382986443.670902,18:54 on Oct 28 2013,69
1382990048.223191,19:54 on Oct 28 2013,68
1382993653.167674,20:54 on Oct 28 2013,68
1382997257.781334,21:54 on Oct 28 2013,67
1383000862.336187,22:54 on Oct 28 2013,64
1383004467.005561,23:54 on Oct 28 2013,62
1383008071.617875,00:54 on Oct 29 2013,59
1383011676.319436,01:54 on Oct 29 2013,59
1383015281.201734,02:54 on Oct 29 2013,58
1383018885.86966,03:54 on Oct 29 2013,58
1383022490.577846,04:54 on Oct 29 2013,57
1383026094.997718,05:54 on Oct 29 2013,56
1383029699.575032,06:55 on Oct 29 2013,53
1383033304.295748,07:55 on Oct 29 2013,53
1383036908.841883,08:55 on Oct 29 2013,53
1383040513.410652,09:55 on Oct 29 2013,53
1383044117.819261,10:55 on Oct 29 2013,53
1383047722.275293,11:55 on Oct 29 2013,53
1383051326.811739,12:55 on Oct 29 2013,54
1383054931.348297,13:55 on Oct 29 2013,56
1383058535.950802,14:55 on Oct 29 2013,59
1383062140.51006,15:55 on Oct 29 2013,64
1383065745.142876,16:55 on Oct 29 2013,67
1383069349.890427,17:55 on Oct 29 2013,70
1383072954.474264,18:55 on Oct 29 2013,70
1383076559.062906,19:56 on Oct 29 2013,70
1383080163.623774,20:56 on Oct 29 2013,72
1383083768.300042,21:56 on Oct 29 2013,70
1383087373.350468,22:56 on Oct 29 2013,65
1383090978.54581,23:56 on Oct 29 2013,61
1383094583.192375,00:56 on Oct 30 2013,58
1383098187.751938,01:56 on Oct 30 2013,57
1383101792.733482,02:56 on Oct 30 2013,56
1383105397.417845,03:56 on Oct 30 2013,54
1383109002.145444,04:56 on Oct 30 2013,53
1383112606.879111,05:56 on Oct 30 2013,53
1383116211.372427,06:56 on Oct 30 2013,53
1383119816.027804,07:57 on Oct 30 2013,52
1383123420.534073,08:57 on Oct 30 2013,52
1383127025.222868,09:57 on Oct 30 2013,53
1383130629.708797,10:57 on Oct 30 2013,54
1383134234.561919,11:57 on Oct 30 2013,54
1383137839.220128,12:57 on Oct 30 2013,55
1383141443.651876,13:57 on Oct 30 2013,56
1383145048.342419,14:57 on Oct 30 2013,62
1383148653.392288,15:57 on Oct 30 2013,64
1383152258.080914,16:57 on Oct 30 2013,64
1383155863.015522,17:57 on Oct 30 2013,68
1383159467.815149,18:57 on Oct 30 2013,68
1383163072.372376,19:57 on Oct 30 2013,72
1383166677.119086,20:58 on Oct 30 2013,73
1383170282.400842,21:58 on Oct 30 2013,71
1383173887.207982,22:58 on Oct 30 2013,67
1383177492.140448,23:58 on Oct 30 2013,63
1383181096.771579,00:58 on Oct 31 2013,61
1383184701.397774,01:58 on Oct 31 2013,61
1383188306.066736,02:58 on Oct 31 2013,59
1383191910.873022,03:58 on Oct 31 2013,59
1383195515.614374,04:58 on Oct 31 2013,60
1383199120.13198,05:58 on Oct 31 2013,61
1383202724.79656,06:58 on Oct 31 2013,61
1383206329.227739,07:58 on Oct 31 2013,59
1383209933.738849,08:58 on Oct 31 2013,58
1383213538.218994,09:59 on Oct 31 2013,57
1383217142.778522,10:59 on Oct 31 2013,57
1383220747.282703,11:59 on Oct 31 2013,57
1383224351.987971,12:59 on Oct 31 2013,58
1383227956.45774,13:59 on Oct 31 2013,61
